alcaldia_catalogo,franja,dia_semana,mes,quincena,finde,trimestre,prob_bajo,prob_medio,prob_alto,nivel_riesgo,nivel_codigo,indice_riesgo
Azcapotzalco,Tarde (12-17),Sábado,2,0,1,1,0.1378,0.4609,0.4013,Medio,1,63.2
Azcapotzalco,Tarde (12-17),Sábado,2,1,1,1,0.1074,0.5043,0.3883,Medio,1,64.0
Azcapotzalco,Madrugada (00-05),Viernes,2,0,0,1,0.7317,0.2495,0.0188,Bajo,0,14.4
Azcapotzalco,Madrugada (00-05),Viernes,2,1,0,1,0.7043,0.2775,0.0182,Bajo,0,15.7
Azcapotzalco,Mañana (06-11),Viernes,2,0,0,1,0.2958,0.4694,0.2348,Medio,1,46.9
Azcapotzalco,Mañana (06-11),Viernes,2,1,0,1,0.2569,0.5252,0.2178,Medio,1,48.0
Azcapotzalco,Noche (18-23),Viernes,2,0,0,1,0.1076,0.419,0.4734,Alto,2,68.3
Azcapotzalco,Noche (18-23),Viernes,2,1,0,1,0.1122,0.4593,0.4286,Medio,1,65.8
Azcapotzalco,Tarde (12-17),Viernes,2,0,0,1,0.1166,0.4596,0.4238,Medio,1,65.4
Azcapotzalco,Tarde (12-17),Viernes,2,1,0,1,0.1167,0.5111,0.3722,Medio,1,62.8
Azcapotzalco,Madrugada (00-05),Domingo,3,0,1,1,0.3681,0.5012,0.1307,Medio,1,38.1
Azcapotzalco,Madrugada (00-05),Domingo,3,1,1,1,0.3408,0.5331,0.1261,Medio,1,39.3
Azcapotzalco,Mañana (06-11),Domingo,3,0,1,1,0.4001,0.4958,0.1041,Medio,1,35.2
Azcapotzalco,Mañana (06-11),Domingo,3,1,1,1,0.3721,0.5238,0.1041,Medio,1,36.6
Azcapotzalco,Noche (18-23),Domingo,3,0,1,1,0.2075,0.5151,0.2774,Medio,1,53.5
Azcapotzalco,Noche (18-23),Domingo,3,1,1,1,0.1862,0.546,0.2678,Medio,1,54.1
Azcapotzalco,Tarde (12-17),Domingo,3,0,1,1,0.1837,0.5396,0.2768,Medio,1,54.7
Azcapotzalco,Tarde (12-17),Domingo,3,1,1,1,0.1687,0.5623,0.269,Medio,1,55.0
Azcapotzalco,Madrugada (00-05),Jueves,3,0,0,1,0.801,0.1866,0.0125,Bajo,0,10.6
Azcapotzalco,Madrugada (00-05),Jueves,3,1,0,1,0.7935,0.1937,0.0129,Bajo,0,11.0
